epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,485.756,1.8122,2.21856,1.5403,0.46012,0.59331,0.49465,0.29508,1.47725,1.17299,1.39511,0.000277329,0.000277329,0.000277329
2,964.791,1.54266,1.34877,1.35085,0.45455,0.60977,0.54078,0.31131,1.49722,1.14638,1.40794,0.000527523,0.000527523,0.000527523
3,1440.87,1.48402,1.24786,1.31914,0.46161,0.68944,0.57328,0.33765,1.44107,1.10193,1.37785,0.000750229,0.000750229,0.000750229
4,1910.42,1.43907,1.17305,1.28575,0.57928,0.69451,0.66976,0.42354,1.37117,0.96745,1.31573,0.000709299,0.000709299,0.000709299
5,2378.13,1.39631,1.1034,1.25996,0.61124,0.71151,0.6824,0.43166,1.36716,0.9377,1.30816,0.000668066,0.000668066,0.000668066
6,2847.94,1.36801,1.04143,1.23872,0.61318,0.67316,0.65941,0.42631,1.31151,0.95778,1.27506,0.000626832,0.000626832,0.000626832
7,3314.94,1.34076,1.01048,1.22805,0.64537,0.70898,0.71836,0.46626,1.31309,0.87417,1.27355,0.000585599,0.000585599,0.000585599
8,3782.76,1.31502,0.98369,1.20945,0.6652,0.7253,0.74015,0.48428,1.28306,0.84966,1.25648,0.000544365,0.000544365,0.000544365
9,4250.19,1.30251,0.95698,1.20631,0.66746,0.71964,0.73478,0.49034,1.26454,0.83598,1.25065,0.000503132,0.000503132,0.000503132
10,4718.67,1.28254,0.92361,1.19469,0.72249,0.72912,0.77004,0.5186,1.25236,0.81247,1.23585,0.000461898,0.000461898,0.000461898
11,5187.25,1.26857,0.84423,1.23445,0.69207,0.75102,0.76933,0.52081,1.24184,0.79463,1.22171,0.000420665,0.000420665,0.000420665
12,5650.58,1.24702,0.81797,1.21387,0.72315,0.74389,0.78392,0.54239,1.21551,0.77521,1.21371,0.000379431,0.000379431,0.000379431
13,6112.35,1.22187,0.78943,1.20696,0.69437,0.8035,0.80166,0.55097,1.2109,0.75015,1.20952,0.000338198,0.000338198,0.000338198
14,6568.7,1.20407,0.76413,1.18695,0.73133,0.77117,0.79973,0.55247,1.22058,0.74768,1.21625,0.000296964,0.000296964,0.000296964
15,7024.92,1.1867,0.7394,1.17878,0.76509,0.74169,0.81285,0.56544,1.17986,0.73303,1.18846,0.000255731,0.000255731,0.000255731
16,7483.56,1.16415,0.71469,1.17051,0.74646,0.76924,0.81459,0.57134,1.18126,0.72174,1.19074,0.000214497,0.000214497,0.000214497
17,7941.15,1.14402,0.69355,1.15447,0.74767,0.78375,0.82456,0.58078,1.16435,0.70772,1.18209,0.000173264,0.000173264,0.000173264
18,8399.37,1.11992,0.67132,1.13921,0.76026,0.79427,0.82507,0.58674,1.15558,0.70396,1.16958,0.000132031,0.000132031,0.000132031
19,8862.6,1.10222,0.64785,1.1298,0.7852,0.77321,0.8361,0.59445,1.14805,0.68539,1.17027,9.0797e-05,9.0797e-05,9.0797e-05
20,9325.12,1.08275,0.6273,1.11974,0.77553,0.78793,0.84258,0.59947,1.14109,0.67549,1.16887,4.95635e-05,4.95635e-05,4.95635e-05
